24 апр. 2025 12:48:27,375 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@593090465
24 апр. 2025 12:48:28,297 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@456381967
24 апр. 2025 12:48:28,352 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@513950815
24 апр. 2025 12:48:28,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@513950815
24 апр. 2025 12:48:29,385 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@217451094
24 апр. 2025 12:48:29,433 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@825884167
24 апр. 2025 12:48:29,482 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@825884167
24 апр. 2025 12:48:30,402 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1661031894
24 апр. 2025 12:48:30,462 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1200724805
24 апр. 2025 12:48:30,500 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1200724805
24 апр. 2025 12:48:31,250 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@298980565
24 апр. 2025 12:48:31,305 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1624119446
24 апр. 2025 12:48:31,342 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1624119446
24 апр. 2025 12:48:32,265 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1479651261
24 апр. 2025 12:48:32,309 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1578070615
24 апр. 2025 12:48:32,345 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1578070615
24 апр. 2025 12:48:33,308 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1967960544
24 апр. 2025 12:48:33,353 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1146784902
24 апр. 2025 12:48:33,388 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1146784902
24 апр. 2025 12:48:34,280 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1704264516
24 апр. 2025 12:48:34,332 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1904195755
24 апр. 2025 12:48:34,368 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1904195755
24 апр. 2025 12:48:35,285 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@330310549
24 апр. 2025 12:48:35,332 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1044869774
24 апр. 2025 12:48:35,404 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1044869774
24 апр. 2025 12:48:36,337 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1238473170
24 апр. 2025 12:48:36,377 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1088245762
24 апр. 2025 12:48:36,411 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1088245762
24 апр. 2025 12:48:37,430 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@31006710
24 апр. 2025 12:48:37,508 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2127435361
24 апр. 2025 12:48:37,543 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2127435361
24 апр. 2025 12:48:38,252 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@348654919
24 апр. 2025 12:48:38,383 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@908217130
